"metric_id","Factor_1","Factor_2","Factor_3","Factor_4","Factor_5","Factor_6","Factor_7"
"Accuracy_Expresses_Uncertainty_expresses_uncertainty_when",0.0735661854468587,0.327861965266044,0.0421278899037689,0.118683944427272,-0.0779250155860716,0.0862843849044779,0.130202537184
"Adaptivity_Unstuck",0.2373113880051,0.00944201076435391,0.378458584426889,0.120260258058916,0.196583370026861,0.138668467510097,0.162474918888719
"Affect_and_Relational_Support_Adapts_to_Affect",0.0333144731541701,0.432453570916429,0.240478220726472,-0.0158131296673196,0.0605609368117665,-0.0367212708477244,0.34171112053621
"Affect_and_Relational_Support_Adapts_to_Affect_responds_effectively_if",-0.00445935838984368,0.380599945251748,0.341937471720339,0.0446736203163001,0.111362196710935,0.0508854310388848,0.200262482442866
"Affect_and_Relational_Support_Respond_appropriately_to_explicit_affect_cues",-0.0464505102650526,0.502331553757589,-0.0292550858072178,0.235248836983596,0.0139968649187294,0.0674841119761046,0.203152416465519
"Alignment_to_Constraints_Academic_Integrity__Honesty",-0.0167308444632529,0.0942646639589571,0.1308509646152,-0.117931941993791,-0.0434302380323889,0.232000282515341,0.0456090262646792
"Alignment_to_Constraints_Coverage",0.101851447483113,0.0535083141979645,0.0940090116012469,0.487216945002537,0.130080662001925,0.0963229483560158,0.109970863214227
"Alignment_to_Constraints_Stay_on_topic",-0.0563003541318523,0.158620679582798,0.391374480581975,0.138476877495088,-0.203935635994022,0.268396068541044,0.0809732832646828
"Assessment_Self_assessment",-0.0459340043000926,0.166744978922864,0.104211722509249,0.0272849095052943,-0.125267328800142,0.138386426581126,0.786716821317724
"Engagement_and_Motivation_Context_Based_Idea_Generation",0.419165319871936,0.157861647005705,0.159143660479481,0.226319719258746,-0.0306432505363783,0.0194797838297041,0.0431018138858392
"Instructional_Support_Communicates_Aims",-0.132993982132611,0.466264688100789,0.188240761505134,-0.121433996560432,0.12153233405236,-0.25230786813986,0.473012449147021
"Instructional_Support_Communicates_Plan",0.135942918358502,0.283399210098381,0.184140999264756,0.0927749283330778,0.103981194042083,-0.0351527485092021,0.283451711519363
"Instructional_Support_Improvement_Suggestions",0.00306858581745079,0.166930381894585,-0.0329856504292084,-0.0180454261301098,0.102035770515413,-0.218434853236537,0.465613612295011
"Instructional_Support_Manageable_Chunks_uses_bullet_points",-0.0193484211165335,0.126671174650537,0.0594872010443458,0.0850781319044766,0.333903050138834,-0.265098046995983,0.264267023098635
"Metacognition_Error_analysis",0.146164197214195,0.11592686959524,0.0957049771053784,0.182791009849382,0.119750744014335,0.101410275254526,0.308347546169373
"Metacognition_Justification_for_Knowing",0.0405101856271501,0.121591943384092,0.127143920827961,0.334352719714705,0.0647081374921534,0.0106157525198896,0.320815244114535
"Mistake_Handling_Error_Identification__Correction_Precision",0.136530604836549,0.0675253329200055,0.320185857641834,0.305023446439582,0.0254782819050057,-0.049150354966107,0.214377353143297
"Mistake_Handling_Guide_Mistake_Discovery",0.489205207262522,0.0278783478660946,0.209606353396901,0.258322458592497,0.136034316868652,-0.0737315107789205,0.0835497577670408
"Mistake_Handling_Guide_Mistake_Discovery_guides_the_student",0.50661835853112,0.019479438245566,0.239587054405652,0.182205606193504,0.0698584268061909,-0.0622125043850782,0.107804616570355
"Mistake_Handling_Identifies_mistakes",0.0801276820977421,0.229612656487394,-0.00879305975131956,0.132767564913778,0.136980634530298,0.0772687212354669,0.358573238694567
"Mistake_Handling_Mistake_identification",-0.0697126175694176,-0.0154819350208211,-0.0580817701939588,0.148844381137046,0.268282064267548,-0.0965446681332015,0.351873281353937
