"metric_id","Factor_1","Factor_2","Factor_3","Factor_4","Factor_5","Factor_6","Factor_7","Factor_8","Factor_9"
"Accuracy_Expresses_Uncertainty",0.162603295087081,-0.0611191651582715,0.0563835161098876,0.142237188161954,-0.00486748476313223,-0.105932045832346,-0.00649382252436562,0.113097256586951,-0.0820065229096189
"Accuracy_Expresses_Uncertainty_expresses_uncertainty_when",-0.0120901572564842,-0.0356457671068433,0.111823169849938,0.0399180130468429,0.054337530552797,0.105309851872108,0.225564564818111,0.0746162948577933,0.0343473647882141
"Adaptivity_Unstuck",0.153150537687225,-0.00858918752741782,0.269613895172109,0.30782984219324,0.0658251692211279,0.213762531610567,0.109019209661005,0.100705511789619,0.0456854722080072
"Affect_and_Relational_Support_Adapts_to_Affect",-0.064937080060837,0.595743791621149,-0.146002814412795,0.137037851902147,0.0214859603682176,0.123871684827736,0.28768197100657,0.0195652039826678,0.141298478909779
"Affect_and_Relational_Support_Adapts_to_Affect_responds_effectively_if",-0.119611494745542,0.371177516856495,-0.0422028052172502,0.229912245332032,-0.154686190545925,0.218173581781475,0.348667610428323,0.230480088538634,0.124928588769459
"Affect_and_Relational_Support_Respond_appropriately_to_explicit_affect_cues",-0.0828740653678152,0.432372718522578,-0.111950399460522,0.0998097891773948,0.048577750485244,0.202307673227384,0.206230154590243,0.0928091638409862,0.176776817305471
"Alignment_to_Constraints_Academic_Integrity__Honesty",-0.00593103096028524,0.0797282413145582,0.0742513719009808,0.0847882616553596,-0.0517884465396606,-0.0752157016436504,-0.00237755666435771,0.292051481522967,-0.134809208539611
"Alignment_to_Constraints_Instruction_following",0.0470022552769566,0.126378418431154,0.107355724300322,0.287844060789566,0.104155300933306,-0.0225636789208028,0.120931756404161,0.323956645020881,0.0180390286143658
"Alignment_to_Constraints_Responsibility_and_Ethics",-0.0797839713972955,0.259268728826348,0.0430300475844698,0.0765541574301539,-0.0112973316272235,0.214713320584448,0.211397216042419,0.193843390449034,0.0566608592790235
"Alignment_to_Constraints_Stay_on_topic",-0.0818361691978242,0.102079247669369,-0.101925222840142,0.405180072287923,-0.129332538353875,-0.14517743363231,0.0351627792328891,0.377769461772025,0.111061636402018
"Alignment_to_Constraints_Transparency__Accountability",-0.110660478224877,0.0108347822085878,0.0900288406157068,0.194387734160937,0.0390907095245213,0.14457788009323,0.435262808215661,0.203161862398717,0.0971210121328216
"Assessment_Self_assessment",-0.100795471757342,0.106472076782065,0.0945771004631155,-0.0830517356513779,0.113997626688059,-0.0905842811416419,0.745482864822202,0.0895695134074557,0.0142963320951535
"Engagement_and_Motivation_Context_Based_Idea_Generation",0.509402885630771,0.130326640289396,-0.0166900753155477,0.245081069745654,0.0272556408270131,0.134949958763033,-0.12285286959584,0.181984483976729,0.0413962338321407
"Instructional_Support_Actionability",0.000579600552257701,0.19062295150857,-0.0792041002968645,0.077670942998232,0.015796274391264,0.0398692346865893,0.464210237153318,0.0885630272699485,0.143652953059287
"Instructional_Support_Manageable_Chunks_uses_bullet_points",-0.0336236011211937,0.270509587363475,0.102552194385343,-0.0485474684540227,0.0948271292515507,0.132161019479829,0.123784737640992,-0.230831171928391,0.208390871755528
"Instructional_Support_Partisanship",0.26697332918684,0.149476380257847,0.0572619889845602,-0.126116722576958,-0.0597641070082506,0.1460891114629,0.234623656640689,0.212477498996102,0.202692357888385
"Metacognition_Error_analysis",0.300598944974061,-0.125921502429957,-0.00734480243433064,0.117179843819289,-0.0133949616346431,0.0470601371598607,0.484360781079931,0.0419996593053241,0.0669095713148566
"Metacognition_Justification_for_Knowing",0.149438094689766,-0.153495376297114,-0.0315659096848396,0.158838787242261,0.147479809658426,0.0991543674777596,0.341988002180335,-0.0294799879122607,0.140643333440563
"Metacognition_Reflective_growth",-0.164396766325459,0.334604641721749,-0.0986149250098299,0.0189361109018605,0.0305732751905411,-0.0852221258456425,0.709969096238104,0.0507349224069275,-0.0232407475960228
"Metacognition_Self_reflection",-0.32381897614138,0.107722329083969,0.250624992201604,-0.265195155529695,0.00803045213598837,-0.104366415446897,0.910313656764221,0.145144937978636,-0.104924448938409
"Mistake_Handling_Error_Identification__Correction_Precision",0.180411095656776,-0.0282082283571233,0.00892255694016721,0.194769074458304,0.247066898218629,0.0925345479790001,0.42228121429606,0.0137412616027753,0.264488909733613
"Mistake_Handling_Guide_Mistake_Discovery",0.459526550524064,-0.127079322154964,0.0387450264359227,0.154718930398546,0.132845915484142,0.0376496256559975,0.268740606898223,0.0765374310253753,0.142490465809257
"Mistake_Handling_Guide_Mistake_Discovery_guides_the_student",0.592936569057958,-0.16579663187082,-0.0116119398602031,0.182539145526856,0.07956354069534,-0.0551755657479006,0.207287001659049,0.1062164045274,0.057686245373848
"Mistake_Handling_Identifies_mistakes",-0.000984108837999341,0.0234407306166358,-0.0403843246869999,0.19953596570338,-0.10728346478328,0.0994955596332445,0.448448618479158,-0.0944204538273658,0.251248818350761
"Mistake_Handling_Mistake_identification",0.134462725443565,-0.139277554026922,0.0786425353211681,0.150869332367728,0.0328359986989441,0.0525605096355597,0.3779895836019,-0.0457661105714788,0.0156665399781844
"Mistake_Handling_Mistake_location",0.257182961407271,-0.177979438774831,-0.122272917525961,0.131997354759308,0.443296820264005,0.0436354688365044,0.27071363134999,-0.0594959992924918,0.0336023450913164
"Mistake_Handling_Refinement",0.150080099096109,-0.0589849017119186,0.0929423141384238,0.26841549596613,-0.0762425207361419,-0.0561605897522202,0.471608362905056,-0.0200601521584649,0.0653767982265313
